Date,Close/Last,Volume,Open,High,Low
05/14/2024,75.21,2186642,75.30,75.87,74.84
05/13/2024,76.13,3055273,75.72,76.43,75.60
05/10/2024,75.30,2746581,76.68,76.83,75.24
05/09/2024,76.52,2240297,76.07,76.56,75.88
05/08/2024,76.11,2423806,74.72,76.18,74.55
05/07/2024,75.50,4327423,75.25,76.16,74.64
05/06/2024,75.66,6195939,75.54,75.98,74.96
05/03/2024,75.13,2875057,75.74,75.92,75.02
05/02/2024,75.93,4709991,76.10,76.395,75.37
05/01/2024,75.93,5965354,77.37,78.38,75.76
04/30/2024,78.38,3829178,78.93,79.215,77.79
04/29/2024,79.50,3934064,80.07,80.33,79.17
04/26/2024,80.39,1605343,80.97,80.97,80.06
04/25/2024,80.44,3009027,79.57,80.49,78.75
04/24/2024,79.64,3662918,79.71,80.25,79.16
04/23/2024,79.98,3355415,78.25,80.10,78.16
04/22/2024,78.78,3299618,77.86,78.99,77.57
04/19/2024,78.85,7608758,78.72,79.53,78.5616
04/18/2024,78.78,4529648,79.12,79.49,78.20
04/17/2024,78.91,5967324,80.28,80.96,78.69
04/16/2024,81.33,4285407,81.31,81.72,81.01
04/15/2024,81.65,10203250,81.00,81.70,80.09
04/12/2024,81.53,9724893,83.00,83.41,81.23
04/11/2024,81.55,6287749,81.67,81.67,80.79
04/10/2024,82.09,6834137,81.39,82.11,80.43
04/09/2024,81.15,3895468,82.13,82.25,80.87
04/08/2024,82.20,3757223,82.38,82.73,81.165
04/05/2024,82.40,3842792,82.58,83.25,82.12
04/04/2024,82.27,6112168,81.07,82.84,80.43
04/03/2024,81.25,3254770,81.31,81.82,81.095
04/02/2024,80.79,4241700,80.63,80.9194,79.88
04/01/2024,79.67,4000055,79.08,80.20,78.80
03/28/2024,78.73,4745626,78.27,78.94,78.02
03/27/2024,77.51,2412290,76.92,77.54,76.82
03/26/2024,77.29,2776793,77.94,77.98,77.21
03/25/2024,77.76,2189168,76.99,78.21,76.99
03/22/2024,76.68,2397010,77.07,77.12,76.31
03/21/2024,76.82,2741978,76.83,77.00,76.1398
03/20/2024,77.25,4254560,77.20,77.52,76.62
03/19/2024,78.43,2720515,78.09,78.775,77.94
03/18/2024,77.98,3403740,77.02,78.175,76.61
03/15/2024,76.33,3141785,75.97,76.64,75.87
03/14/2024,76.30,4238554,75.90,76.76,75.74
03/13/2024,75.09,4435527,74.75,75.25,74.37
03/12/2024,73.35,4134645,73.42,74.16,73.01
03/11/2024,73.62,3072580,72.97,73.90,72.37
03/08/2024,73.36,4038736,74.02,74.08,72.99
03/07/2024,74.23,3758458,73.56,74.77,73.40
03/06/2024,74.34,4988931,74.67,75.73,74.16
03/05/2024,73.45,4262691,73.62,74.67,73.115
03/04/2024,74.01,3332739,75.43,75.50,73.83
03/01/2024,74.96,5359729,74.74,75.94,74.53
02/29/2024,73.36,3861400,74.07,74.45,73.20
02/28/2024,73.62,3991538,74.461,74.74,73.265
02/27/2024,73.85,5301663,73.21,74.16,73.14
02/26/2024,72.79,3578474,71.55,73.24,71.48
02/23/2024,71.92,3403247,72.19,72.6601,71.66
02/22/2024,73.60,2748494,72.99,74.05,72.91
02/21/2024,73.20,3781155,72.17,73.22,72.16
02/20/2024,72.42,3468577,73.44,73.45,72.06
02/16/2024,73.41,4209184,72.95,73.63,72.4399
02/15/2024,72.84,4230876,71.77,73.20,71.77
02/14/2024,71.55,4632503,73.07,73.531,71.37
02/13/2024,72.65,3631981,72.54,73.22,71.95
02/12/2024,72.11,3838953,71.53,72.13,71.53
02/09/2024,71.67,2761712,71.94,72.28,71.10
02/08/2024,71.52,6147399,70.27,71.60,70.22
02/07/2024,69.42,5234154,68.94,69.43,68.70
02/06/2024,68.81,4413444,68.65,69.10,68.12
02/05/2024,68.18,3284529,67.83,68.59,66.85
02/02/2024,67.51,5659648,68.03,68.36,67.19
02/01/2024,69.07,13358720,71.59,71.99,68.9601
01/31/2024,70.92,5073719,72.32,72.37,70.66
01/30/2024,72.81,3559179,72.00,73.10,71.72
01/29/2024,72.05,3444897,72.43,72.45,71.48
01/26/2024,73.10,4822085,71.98,73.1866,71.13
01/25/2024,72.23,4979571,71.48,72.45,71.015
01/24/2024,70.54,4857614,69.97,70.88,69.66
01/23/2024,69.66,3164812,69.34,70.3279,69.12
01/22/2024,69.69,4992451,68.88,70.50,68.72
01/19/2024,68.82,4668863,69.41,69.72,68.21
01/18/2024,69.06,4685914,68.36,69.31,67.79
01/17/2024,67.94,4462991,66.48,67.96,66.282
01/16/2024,67.25,4904795,68.09,68.25,67.11
01/12/2024,68.02,7198815,69.38,69.81,67.57
01/11/2024,67.65,7436422,68.35,68.92,67.11
01/10/2024,66.56,6307736,68.27,68.68,66.34
01/09/2024,67.39,4394073,67.30,67.95,66.71
01/08/2024,66.40,6270280,66.07,66.49,65.54
01/05/2024,69.03,4996548,68.83,69.315,68.36
01/04/2024,67.57,5001044,68.19,68.39,66.40
01/03/2024,68.19,7136842,66.92,68.36,66.72
01/02/2024,65.77,7908570,67.56,67.56,65.48
12/29/2023,66.65,3305507,67.68,67.75,66.63
12/28/2023,67.18,5754450,68.35,68.94,66.975
12/27/2023,68.92,3785632,70.02,70.17,68.90
12/26/2023,70.21,4996880,70.52,71.10,70.11
12/22/2023,68.69,4301872,69.63,69.9599,68.49
12/21/2023,69.03,3290352,68.13,69.075,68.13
12/20/2023,68.79,5252060,70.15,70.3001,68.66
12/19/2023,69.36,4039073,68.30,69.43,68.255
12/18/2023,68.09,5558919,68.89,69.58,67.55
12/15/2023,67.15,3451197,67.19,67.32,65.88
12/14/2023,67.16,5062761,66.95,67.80,66.90
12/13/2023,65.33,3575155,64.42,65.35,64.34
12/12/2023,64.25,7103806,64.93,65.06,63.84
12/11/2023,66.80,2589247,66.50,67.03,65.98
12/08/2023,66.53,4055468,66.11,66.90,65.92
